菠萝,柚子,哈密瓜,芒果,猕猴桃,枇杷,石榴,杏子,无花果,橄榄,
羊驼,刺猬,袋鼠,斑马,兔子,松鼠,海豹,鸵鸟,鳄鱼,鳗鱼,
警察,消防员,军人,科学家,商人,演员,导演,作曲家,诗人,记者,
上海,天津,广州,深圳,哈尔滨,青岛,大连,昆明,厦门,苏州,
滑板,溜冰,跑步,跳绳,滑雪,骑行,跳伞,高尔夫,橄榄球,跳水,
巧克力,糖果,棒棒糖,饼干,果冻,果仁,坚果,冰淇淋,布丁,蛋糕,
汽水,橙汁,矿泉水,奶茶,可可,可乐,果汁,咖啡,酸奶,红茶,
遥控器,洗衣机,电视机,吸尘器,冰箱,微波炉,空调,电风扇,电热水器,打印机,
家电,电子,计算机,手机,耳机,电池,电灯,洗碗机,冰箱,空调,
电动滑板车,自行车,滑雪板,小汽车,电动车,自行车,摩托车,轮船,火车,巴士,
火锅,小龙虾,烧烤,炸鸡,炸薯条,披萨,寿司,拉面,牛肉面,炒饭,
米饭,烤鸡,烤鸭,炒菜,煲汤,粥,饺子,包子,烧麦,春卷,
牛奶,鸡蛋,面包,面包片,水果,坚果,麦片,蜂蜜,黄油,酸奶,
足球,篮球,乒乓球,羽毛球,排球,滑板,跑步,网球,高尔夫,游泳,
拳击,瑜伽,健身,跆拳道,游泳,体操,马拉松,拳击,滑雪,滑冰,
海洋,森林,沙滩,山脉,高原,湿地,河流,湖泊,水源,峡谷,
阳光,风,雨,雪,雷电,彩虹,月光,星光,雾霾,雾霾,
天空,太阳,月亮,星星,云朵,风车,火山,海洋,沙滩,草地,
西餐,中餐,日韩料理,印度餐,意大利餐,法国菜,墨西哥餐,西式快餐,地方小吃,家常菜,
甜品,水果,沙拉,快餐,油炸,素食,中式快餐,特色小吃,奶酪,酸奶,
书籍,小说,杂志,报纸,漫画,诗集,旅游书,字典,故事书,工具书,
礼物,手机,化妆品,包包,手表,鞋子,帽子,衣服,耳机,墨镜,
设计,艺术,科技,创新,广告,摄影,文案,平面设计,UI设计,工业设计,
车站,机场,地铁,公交站,停车场,轮渡,火车站,汽车站,长途汽车,出租车,
银行,商场,超市,书店,餐厅,博物馆,动物园,剧院,游乐园,电影院,
小丑,魔术师,舞蹈家,歌手,小提琴家,钢琴家,话剧演员,主持人,导演,编剧,
科技,能源,环保,教育,医疗,文化,建筑,设计,投资,管理,
邮局,水电,煤气,物业,社区,医院,商场,超市,餐厅,电影院,
篮球场,羽毛球场,足球场,乒乓球场,游泳池,健身房,网球场,跑道,滑雪场,健身步道,
医生,律师,老师,护士,厨师,记者,编辑,程序员,电工,摄影师,
扫地,擦桌子,洗碗,做饭,洗衣服,打扫卫生,整理房间,购物,拖地,倒垃圾,
机场,火车站,长途车,地铁,巴士,轮船,出租车,骑行,步行,滑板,
商店,超市,市场,百货商店,专卖店,购物中心,餐厅,快餐店,奶茶店,咖啡厅,
外卖,自取,配送,外送,快递,拼多多,京东,淘宝,阿里巴巴,美团,
景点,名胜,博物馆,美术馆,动物园,植物园,科技馆,文化中心,图书馆,公园,
时装,休闲,运动服,牛仔裤,连衣裙,西装,衬衫,T恤,鞋子,袜子,
电影院,剧院,音乐厅,咖啡馆,酒吧,餐馆,酒吧,夜店,音乐会,演出,
电子,电器,计算机,电视机,空调,微波炉,冰箱,电风扇,洗衣机,吸尘器,
人力资源,管理,财务,市场,销售,客服,采购,行政,法务,运营,
动物,植物,海洋,气候,环境,地理,空间,生物,生态,物理,
中国,美国,日本,德国,英国,韩国,法国,意大利,西班牙,加拿大,
飞机,火车,汽车,轮船,巴士,地铁,自行车,电动车,摩托车,滑板车,
手机,电视,相机,耳机,计算机,电子,游戏机,平板,电子钟,电池,
海岸,沙滩,河流,山脉,平原,高原,丛林,森林,湖泊,瀑布,
火箭,卫星,航天,宇宙,太空站,天文,望远镜,飞船,星际,月球,
浪漫,爱情,婚礼,约会,纪念日,生日,节日,感恩节,圣诞节,新年,
绘画,雕塑,手工,陶艺,装饰,纸艺,木工,手工艺,刺绣,编织,
野生动物,宠物,家禽,海洋生物,爬行动物,昆虫,鸟类,鱼类,两栖动物,哺乳动物,
纸巾,湿巾,吸管,筷子,碗,杯子,刀叉,勺子,锅,盘子,
苹果,香蕉,橙子,葡萄,西瓜,草莓,梨,桃子,蓝莓,柠檬,
小猫,小狗,兔子,老虎,大象,狮子,猴子,熊猫,长颈鹿,狐狸,
医生,教师,工程师,律师,演员,歌手,厨师,司机,护士,学生,
北京,上海,广州,深圳,成都,杭州,武汉,重庆,南京,西安,
足球,篮球,乒乓球,羽毛球,排球,游泳,跑步,网球,高尔夫,滑雪,
咖啡,茶,牛奶,可乐,果汁,啤酒,红酒,白酒,矿泉水,绿茶,
玫瑰花,太阳花,菊花,百合花,向日葵,兰花,牡丹花,茉莉花,樱花,丁香花,
琴,吉他,钢琴,鼓,小提琴,笛子,二胡,电吉他,长笛,口琴,
猫咪,狗狗,仓鼠,鹦鹉,金鱼,乌龟,兔子,羊,猪,牛,
理发师,化妆师,摄影师,导游,律师,会计,司机,售货员,教师,医生,
作家,歌手,舞蹈家,主持人,导演,摄影师,演员,程序员,设计师,程序员,
教育,金融,医疗,建筑,娱乐,运动,环保,农业,旅游,科技,
北极熊,企鹅,海豹,鲸鱼,鲨鱼,海豚,章鱼,海星,螃蟹,海马,
旅行,聚会,晚餐,婚礼,演唱会,生日,春节,圣诞节,新年,中秋节,
红色,蓝色,黄色,绿色,紫色,橙色,黑色,白色,粉色,灰色,
月亮,太阳,星星,云朵,风,雨,雪,雷电,彩虹,雾霾,
文具,笔,本子,文件夹,橡皮,剪刀,尺子,胶水,透明胶,订书机,
火锅,烤肉,蒸菜,烧烤,涮锅,炸串,煲仔饭,粥,面条,饺子,
鞋子,帽子,衬衫,裤子,裙子,外套,手套,围巾,袜子,鞋垫,
夜市,超市,商场,市场,便利店,购物中心,餐厅,电影院,咖啡店,书店,
木材,石材,铁,塑料,玻璃,纸,金属,陶瓷,水泥,煤炭,
蓝天,白云,大海,森林,沙滩,瀑布,池塘,草地,山坡,石头,
滑冰,滑雪,登山,潜水,跑步,徒步,骑行,游泳,钓鱼,漂流,
电视,电影,电视剧,综艺,纪录片,动画片,卡通,新闻,游戏,音乐,
医院,学校,公司,商场,超市,图书馆,餐厅,银行,公园,邮局,
铅笔,钢笔,圆珠笔,水彩笔,荧光笔,画笔,粉笔,记号笔,马克笔,签字笔,
红茶,绿茶,乌龙茶,普洱茶,白茶,花茶,黄茶,茉莉花茶,龙井茶,铁观音,
鸽子,乌鸦,老鹰,麻雀,鹦鹉,鸳鸯,白鹤,天鹅,猫头鹰,喜鹊,
插花,绘画,写字,雕塑,音乐,舞蹈,摄影,木工,陶艺,手工,
瑜伽,冥想,拳击,跳舞,跑步,打球,游泳,骑车,滑雪,滑板,
营养师,健身教练,厨师,养生专家,心理学家,医生,护士,按摩师,美容师,理疗师,
紫菜,黄花菜,枸杞,松茸,香菇,杏仁,花生,西红柿,胡椒,大蒜,
金色,银色,青色,铜色,黑色,白色,米色,紫色,蓝色,粉色,
咖啡厅,酒吧,餐馆,小吃店,奶茶店,快餐店,面包店,甜品店,自助餐,火锅店,
月饼,汤圆,粽子,年糕,冰棍,巧克力,糖果,饼干,蛋糕,果冻,
地球,月亮,太阳,火星,金星,土星,木星,水星,天王星,海王星,
吃饭,喝水,跑步,跳绳,走路,看书,听音乐,说话,唱歌,跳舞,
写字,读书,画画,做饭,买东西,卖东西,看电影,玩游戏,学习知识,做工作,
睡觉,打电话,发邮件,开车,坐车,骑自行车,骑摩托,游泳,爬山,打篮球,
踢足球,打乒乓球,拍照,敲门,摇铃,扫地,擦窗,洗碗,涂油漆,修理电器,
搬家,拿东西,放东西,丢垃圾,接电话,递纸,送水,取快递,整理桌子,准备资料,
计划旅行,思考问题,计算数字,做决定,观察环境,分析数据,总结经验,创造方案,研究问题,演奏乐器,
练习弹琴,唱歌,跳舞表演,画画,雕刻,修复家具,表演节目,设计服装,绘画,雕塑创作,
写报告,背书,做笔记,复习功课,思考问题,总结报告,做研究,翻译文件,编辑文章,改编小说,
整理房间,洗衣服,擦鞋,修剪花草,整理文件,做家务,清理垃圾,收拾房间,晾衣服,洗澡,
做饭,炒菜,煮汤,蒸饭,烤肉,炖菜,炸鸡,煎蛋,泡面,剁菜,
修理电器,清理房间,擦桌子,打扫卫生,拖地,洗衣服,整理床铺,做饭,切菜,包饺子,
读书,写作,背诵,演讲,做报告,做笔记,复习,思考,总结,研究,
翻译文档,解释问题,修订资料,整理文件,写论文,答辩,审阅资料,总结报告,查阅书籍,编辑视频,
打招呼,握手,拥抱,亲吻,打招呼,问候,道谢,道歉,微笑,示意,
调侃,讽刺,鼓励,安慰,安抚,鼓舞,激励,提醒,警告,关心,
做饭,看电影,购物,做运动,听音乐,洗衣服,洗澡,照镜子,开车,吃饭,
打电话,发短信,洗碗,喝水,走路,睡觉,做作业,吃零食,看书,看电视,
打游戏,看新闻,洗脸,化妆,逛街,购物中心,上网,照相,打字,写字,
做计划,喝茶,吃水果,喝酒,做家务,练习瑜伽,学英语,听课,做总结,听讲座,
洗头,磨牙,整理房间,做清洁,约朋友,打扫,听广播,做饭菜,洗车,买菜,
打球,走路,修理,做蛋糕,练习钢琴,学习画画,学编程,看展览,参观博物馆,玩玩具,
洗手,理发,做笔记,照顾宠物,买书,做运动,去游泳,听故事,听音乐会,看演出,
去超市,打包行李,学游泳,打扫卫生,跑步,跳舞,做早餐,做晚餐,做午餐,写日记